town_id,縣市,鄉鎮,人口數,家戶數,1-2月總用電,1-2月家戶用電,3-4月總用電,3-4月家戶用電,5-6月總用電,5-6月家戶用電,7-8月總用電,7-8月家戶用電,9-10月總用電,9-10月家戶用電,11-12月總用電,11-12月家戶用電
6300700,臺北市,萬華區,190855,75235,42417572,563.8010500432,43498792,578.17228683458,45017677,598.36082940121,67512153,897.35034226092,73178532,972.66607297136,48268065,641.56396623912
6301200,臺北市,北投區,252290,91268,56321203,617.09693430337,55556915,608.72282727791,61029818,668.6880177061,87352620,957.10018845598,87583156,959.62611210939,57501443,630.02852040146
6300200,臺北市,信義區,226541,86807,57665976,664.30098955153,57841673,666.32498531224,59264337,682.71380188234,85386667,983.63803610308,95057243,1095.0412178741,62587765,720.99905537572
6300600,臺北市,大同區,126640,48508,28297423,583.35579698194,31215705,643.5166364311,31324083,645.75086583656,46779247,964.36148676507,53295713,1098.6994516368,35780086,737.61206398945
6300500,臺北市,中正區,161449,63143,42232268,668.83531032735,41329644,654.54039244255,44652107,707.15846570483,63110489,999.48512107439,65732661,1041.0126379805,45392436,718.88310659931
6300800,臺北市,文山區,266442,99098,60834099,613.87817110335,62620403,631.90380229672,61396972,619.55813437204,85402324,861.79664574462,92300129,931.40254091909,63352404,639.2904397667
6300100,臺北市,松山區,209948,78741,51660329,656.07915825301,51303751,651.55066610787,55849456,709.28050189863,81189709,1031.0982715485,84382947,1071.651960224,55598738,706.09641736833
6300300,臺北市,大安區,313846,118069,87933840,744.76653482286,85454884,723.77071034734,91497269,774.94743751535,134252990,1137.0723051775,138582224,1173.7392880434,90276877,764.61117651543
6301100,臺北市,士林區,287072,102534,75335251,734.73434177931,77639142,757.20387383697,76964143,750.62070142587,110885737,1081.453342306,122948192,1199.0968069128,83756959,816.87010162483
6300900,臺北市,南港區,116131,42923,24634752,573.92894252499,26301751,612.76590639051,24968252,581.69866971088,35298095,822.35852573212,41021346,955.69615357734,27647909,644.12806653775
6300400,臺北市,中山區,224102,93960,67782317,721.39545551298,72049017,766.80520434227,73772933,785.15254363559,109458557,1164.9484567901,122107233,1299.5661238825,81396533,866.28919753086
6301000,臺北市,內湖區,275652,99593,66559141,668.31143755083,66560358,668.32365728515,66847040,671.20219292521,97314161,977.11848222265,103075874,1034.9710722641,69103872,693.86274135732
6500800,新北市,鶯歌區,87683,27986,20239778,723.21081969556,21396019,764.52579861359,20721042,740.40741799471,27207818,972.19388265561,30522027,1090.617701708,22020613,786.84388622883
6501300,新北市,土城區,239156,83316,53325608,640.04042440828,54810060,657.85755437131,56816495,681.93978347496,82127372,985.73349656729,86832489,1042.2066469826,57798394,693.72502280474
6502100,新北市,三芝區,23319,8946,7264634,812.05387882853,7110510,794.825620389,6975041,779.68265146434,8493983,949.47272524033,8809556,984.74804381847,6831652,763.65437066846
6502700,新北市,金山區,22447,6808,4908941,721.05478848414,5389295,791.61207403055,5009508,735.82667450059,6510592,956.31492361927,7495744,1101.0199764982,5357395,786.92641010576
6501200,新北市,瑞芳區,42031,15930,9978342,626.3868173258,9980063,626.4948524796,9775389,613.64651600753,12608832,791.51487758945,13197778,828.48575015694,9700374,608.93747645951
6501600,新北市,泰山區,77057,26554,19466252,733.08172026813,20573146,774.76636288318,19807534,745.93409655796,27714011,1043.684981547,34193392,1287.6927016645,23643040,890.37583791519
6500500,新北市,新莊區,404089,139207,94660969,680.00150136128,95461968,685.75551516806,102600169,737.03311615077,152389761,1094.6989806547,163493085,1174.4602282931,105507503,757.91808601579
6502800,新北市,萬里區,22204,7140,4735166,663.18851540616,4673294,654.52296918768,4574960,640.75070028011,5807842,813.42324929972,6398205,896.10714285714,4769378,667.98011204482
6501900,新北市,石碇區,7887,3340,2221369,665.08053892216,1982570,593.58383233533,2046957,612.86137724551,2236236,669.53173652695,2254332,674.9497005988,2000105,598.83383233533
6502200,新北市,石門區,12841,4161,2521750,606.04422013939,2306605,554.3391011776,2505794,602.20956500841,3194541,767.73395818313,3052292,733.54770487863,2367817,569.04998798366
6502600,新北市,貢寮區,13538,4438,3058543,689.17147363677,3347320,754.24064894096,3216171,724.68927444795,4053263,913.30847228481,4391368,989.49256421812,3268269,736.42834610185
6502900,新北市,烏來區,5927,1748,1236304,707.26773455378,1339276,766.176201373,1215281,695.24084668192,1289413,737.6504576659,1403280,802.79176201373,1218540,697.10526315789
6501400,新北市,蘆洲區,198373,66457,47076175,708.37045006546,49243719,740.98618655672,50250590,756.13690055224,74828680,1125.9713799901,87182029,1311.8562228208,57395026,863.64154265164
6502500,新北市,雙溪區,9555,3806,2121397,557.38229111929,1995360,524.26694692591,2027686,532.76037834997,2445349,642.49842354178,2452108,644.27430373095,2028858,533.0683131897
6500400,新北市,永和區,232386,89972,59420820,660.4368025608,60986422,677.83779398035,61920994,688.22515893834,88667303,985.4988551994,99317004,1103.8656915485,66180023,735.56243053394
6502400,新北市,平溪區,5197,2392,1061258,443.66973244147,987468,412.82107023411,1006661,420.84489966555,1111615,464.72198996656,1189728,497.3779264214,1004312,419.86287625418
6501500,新北市,五股區,80518,27777,20104941,723.79814234799,20399594,734.40594736653,21573488,776.66731468481,31978923,1151.273463657,31640068,1139.0743420816,20711829,745.64672210822
6502300,新北市,八里區,35423,12671,10714213,845.56964722595,10918193,861.66782416542,10965012,865.36279693789,15279154,1205.8364769947,16456404,1298.7454818089,11287492,890.81303764502
6502000,新北市,坪林區,6533,2457,1229502,500.40781440781,1284250,522.69027269027,1413991,575.49491249491,1470862,598.64143264143,1524701,620.55392755393,1390572,565.96336996337
6500200,新北市,三重區,390421,142515,99512152,698.25739045013,100574788,705.71370031225,110606886,776.10697821282,166645132,1169.3164368663,171782660,1205.3654703014,111225503,780.44769322527
6500900,新北市,三峽區,105629,36823,26649601,723.72161420851,28369868,770.43880183581,27363159,743.09966596964,35451892,962.7649023708,38553131,1046.985063683,28519040,774.48985688293
6501800,新北市,深坑區,23531,9085,7481117,823.45811777655,7971097,877.39097413319,7268687,800.07561915245,9176987,1010.1251513484,10386410,1143.2482113374,7863440,865.54100165107
6500100,新北市,板橋區,555335,198015,131041106,661.77363331061,136058431,687.11173900967,139974164,706.88667020175,205295181,1036.7658056208,231698893,1170.1077847638,153044220,772.8920536323
6500300,新北市,中和區,414939,157474,108975536,692.02240369839,107069982,679.92165055819,114236110,725.42838817837,165638875,1051.8490353963,169058031,1073.561546668,112512946,714.48585798291
6500600,新北市,新店區,296581,117904,86351207,732.38572906772,89299633,757.39273476727,85272775,723.23903345094,113392898,961.739194599,125265157,1062.4334797802,89257522,757.03557131225
6501100,新北市,汐止區,190679,80361,63205256,786.51654409477,63903343,795.20343201304,61273701,762.48056893269,84223193,1048.0605393163,88269412,1098.4110700464,61830619,769.41077139408
6501000,新北市,淡水區,146756,59866,53703410,897.06026793171,56868896,949.93645808973,53727391,897.46084588915,70038302,1169.9178498647,78011126,1303.0956803528,57271274,956.65776901747
6501700,新北市,林口區,86628,32503,27382391,842.45734239916,31208647,960.17742977571,27256709,838.5905608713,31814425,978.81503245854,35057605,1078.5959757561,27566616,848.12528074332
6500700,新北市,樹林區,179788,62139,39704335,638.9599929191,41752297,671.91774891775,42478562,683.60549735271,60139361,967.81990376414,64919125,1044.7404206698,44234282,711.86021661115
6600100,臺中市,中　區,21610,8224,6111568,743.13813229572,6418238,780.42777237354,7232291,879.41281614786,9553846,1161.7030642023,10178789,1237.6932149805,7758946,943.45160505837
6601000,臺中市,東勢區,52780,17067,11461391,671.55276264135,12136397,711.10312298588,11826829,692.96472725142,12615518,739.17607077987,13033157,763.64662799555,11517261,674.82633151696
6600500,臺中市,北　區,147679,56515,42908229,759.23611430594,42828506,757.82546226665,49683107,879.11363354862,63909709,1130.8450676811,67789539,1199.4963991861,49544488,876.66085110148
6601600,臺中市,神岡區,63921,17895,15088477,843.16719754121,15442942,862.9752444817,15320906,856.15568594579,18265903,1020.7266275496,20125955,1124.6691813356,15425282,861.98837664152
6602100,臺中市,外埔區,32005,8976,7922638,882.64683600713,7296186,812.85494652406,7932540,883.75,9573112,1066.5231729055,9670814,1077.4079768271,7222714,804.66956327986
6601900,臺中市,新社區,25495,7380,6273022,850.00298102981,6269577,849.53617886179,6677086,904.75420054201,6666072,903.26178861789,6970128,944.46178861789,6050082,819.79430894309
6602000,臺中市,石岡區,15792,4862,3230009,664.33751542575,3356060,690.26326614562,3262797,671.08124228712,3585368,737.42657342657,3819417,785.5649938297,3412307,701.83196215549
6602600,臺中市,霧峰區,63904,18908,17611288,931.41992807277,17434956,922.09414004654,19770034,1045.5909667865,24606471,1301.3788343558,25003721,1322.3884599111,19713395,1042.5954622382
6601200,臺中市,清水區,85629,25281,18907982,747.91274079348,21335814,843.9466002136,20311886,803.44472133223,26382287,1043.5618448637,30166573,1193.2507812191,21751421,860.38610023338
6601100,臺中市,大甲區,78118,21870,17995325,822.83150434385,18788362,859.09291266575,18439521,843.14224965706,24499306,1120.2243255601,27154040,1241.6113397348,19639228,897.99853680841
6602900,臺中市,和平區,10683,4419,3434861,777.29373161349,3545833,802.40620049785,3530005,798.82439465943,3612652,817.52704231727,3718767,841.54039375424,3649548,825.87644263408
6602200,臺中市,大安區,20081,5317,4594978,864.20500282114,4716601,887.0793680647,4691615,882.38010156103,5920221,1113.4513823585,6425530,1208.4878690991,4528224,851.65017867218
6601400,臺中市,梧棲區,55544,16234,14706638,905.91585561168,15462881,952.49975360355,14918758,918.98225945546,19816588,1220.6842429469,22257564,1371.0461993347,16059546,989.25378834545
6601500,臺中市,后里區,54033,14976,13089436,874.02751068376,12801010,854.76829594017,12829452,856.66746794872,14995457,1001.2992120726,16035864,1070.7708333333,12517868,835.86191239316
6600700,臺中市,南屯區,155768,54515,43895105,805.19315784646,42735646,783.92453453178,48705910,893.44052095753,66620789,1222.0634504265,69837425,1281.0680546639,49014536,899.10182518573
6602700,臺中市,太平區,174284,55591,41731817,750.69376337896,41544816,747.3298915292,45941867,826.42634599126,58020819,1043.70885575,60530330,1088.8512529006,47206116,849.16831861273
6602500,臺中市,龍井區,74682,21009,20385823,970.33761721167,21257715,1011.8384977867,20741955,987.28901899186,25545791,1215.9451187586,28305290,1347.2935408634,22094958,1051.6901328002
6602300,臺中市,烏日區,69224,21003,15504437,738.20106651431,16819643,800.82097795553,16727942,796.45488739704,22389645,1066.0212826739,25215973,1200.5891063181,19523534,929.55930105223
6602400,臺中市,大肚區,55739,16052,13133533,818.18670570645,13507381,841.47651383005,13523108,842.45626713182,16518083,1029.0358210815,18631454,1160.6936207326,14473897,901.68807625218
6601800,臺中市,大雅區,90591,26724,22209443,831.0673177668,22629142,846.77226463104,22529378,843.03914084718,28510911,1066.8654018859,30793908,1152.2941176471,23374334,874.65701242329
6600200,臺中市,東　區,73960,26112,18322009,701.67007506127,18756864,718.32352941176,20224542,774.53056066176,27743046,1062.4634650735,29755091,1139.5178844975,22486679,861.16264552696
6600400,臺中市,西　區,117210,43771,33163349,757.65573096342,34548420,789.29930776085,35200626,804.19972127664,51008567,1165.3507345046,58339385,1332.8318978319,44889471,1025.5527860912
6601300,臺中市,沙鹿區,83238,24720,25502395,1031.6502831715,25123677,1016.3299757282,26784008,1083.4954692557,33298370,1347.0214401294,36338805,1470.0163834951,26762950,1082.6436084142
6601700,臺中市,潭子區,101781,33080,23106661,698.50849455865,24871752,751.86674727932,24601898,743.70912938331,31085137,939.6957980653,35217306,1064.6102176542,28590499,864.28352478839
6600900,臺中市,豐原區,165609,50424,37434988,742.40417261621,39249567,778.39058781533,38667073,766.83866809456,47172739,935.52155719499,51097912,1013.3649056005,41634987,825.69782246549
6600800,臺中市,北屯區,249742,85693,64008236,746.94824548096,64041540,747.33688866068,71679922,836.47348091443,92835184,1083.3461776341,95892527,1119.0240393031,70090496,817.92557151693
